10/19/22,2:46:19:154,FireSpire- 2  MixTank Pressure High:  1
10/19/22,2:46:19:154,FireSpire- 2  H2Tank Pressure High:  1
10/19/22,2:46:19:154,FireSpire- 2  Estop:  0
10/19/22,2:46:19:154,FireSpire- 2  O2 Alarm:  0
10/19/22,2:46:19:154,FireSpire- 2  Air Flow:  1
10/19/22,2:46:19:154,FireSpire- 3  FireEnabled:  1
10/19/22,2:46:19:155,FireSpire- 3  Call For Ignition:  1
10/19/22,2:46:19:155,FireSpire- 3  Flame Detected:  0
10/19/22,2:46:19:155,FireSpire- 3  Moisture Alarm:  1
10/19/22,2:46:19:155,FireSpire- 3  Burner Faulted:  0
10/19/22,2:46:19:155,FireSpire- 3  LEL 102 Alarm:  0
10/19/22,2:46:19:155,FireSpire- 3  LEL 102 Warning:  0
10/19/22,2:46:19:155,FireSpire- 3  LEL 102 Fault:  0
10/19/22,2:46:19:156,FireSpire- 3  LEL 101 Alarm:  0
10/19/22,2:46:19:156,FireSpire- 3  LEL 101 Warning:  0
10/19/22,2:46:19:156,FireSpire- 3  LEL 101 Fault:  0
10/19/22,2:46:19:156,FireSpire- 3  MixTank Pressure High:  1
10/19/22,2:46:19:156,FireSpire- 3  H2Tank Pressure High:  1
10/19/22,2:46:19:156,FireSpire- 3  Estop:  0
10/19/22,2:46:19:157,FireSpire- 3  O2 Alarm:  0
10/19/22,2:46:19:157,FireSpire- 3  Air Flow:  1
10/19/22,2:46:19:157,FireSpire- 4  FireEnabled:  1
10/19/22,2:46:19:157,FireSpire- 4  Call For Ignition:  1
10/19/22,2:46:19:157,FireSpire- 4  Flame Detected:  0
10/19/22,2:46:19:157,FireSpire- 4  Moisture Alarm:  1
10/19/22,2:46:19:158,FireSpire- 4  Burner Faulted:  0
10/19/22,2:46:19:158,FireSpire- 4  LEL 102 Alarm:  0
10/19/22,2:46:19:158,FireSpire- 4  LEL 102 Warning:  0
10/19/22,2:46:19:158,FireSpire- 4  LEL 102 Fault:  0
10/19/22,2:46:19:158,FireSpire- 4  LEL 101 Alarm:  0
10/19/22,2:46:19:158,FireSpire- 4  LEL 101 Warning:  0
10/19/22,2:46:19:158,FireSpire- 4  LEL 101 Fault:  0
10/19/22,2:46:19:159,FireSpire- 4  MixTank Pressure High:  1
10/19/22,2:46:19:159,FireSpire- 4  H2Tank Pressure High:  1
10/19/22,2:46:19:159,FireSpire- 4  Estop:  0
10/19/22,2:46:19:159,FireSpire- 4  O2 Alarm:  0
10/19/22,2:46:19:159,FireSpire- 4  Air Flow:  1
10/19/22,2:46:19:159,FireSpire- 5  FireEnabled:  1
10/19/22,2:46:19:159,FireSpire- 5  Call For Ignition:  1
10/19/22,2:46:19:159,FireSpire- 5  Flame Detected:  0
10/19/22,2:46:19:159,FireSpire- 5  Moisture Alarm:  1
10/19/22,2:46:19:160,FireSpire- 5  Burner Faulted:  0
10/19/22,2:46:19:160,FireSpire- 5  LEL 102 Alarm:  0
10/19/22,2:46:19:160,FireSpire- 5  LEL 102 Warning:  0
10/19/22,2:46:19:160,FireSpire- 5  LEL 102 Fault:  0
10/19/22,2:46:19:160,FireSpire- 5  LEL 101 Alarm:  0
10/19/22,2:46:19:160,FireSpire- 5  LEL 101 Warning:  0
10/19/22,2:46:19:160,FireSpire- 5  LEL 101 Fault:  0
10/19/22,2:46:19:160,FireSpire- 5  MixTank Pressure High:  1
10/19/22,2:46:19:160,FireSpire- 5  H2Tank Pressure High:  1
10/19/22,2:46:19:161,FireSpire- 5  Estop:  0
10/19/22,2:46:19:161,FireSpire- 5  O2 Alarm:  0
10/19/22,2:46:19:161,FireSpire- 5  Air Flow:  1
